"Reģistrācijas Nr.","IZM kods","Iestādes nosaukums","1.kl.","2.kl.","3.kl.","4.kl.","5.kl.","6.kl.","7.kl.","8.kl.","9.kl."
"2819902423","281302","Jelgavas Valsts ģimnāzija",0,0,0,0,0,0,119,126,109
"2813900137","281304","Jelgavas 4. vidusskola",141,111,107,109,121,81,69,81,81
"2813900138","281305","Jelgavas 5. vidusskola",66,45,68,89,64,62,49,64,63
"2813900139","281306","Jelgavas 6. vidusskola",52,62,52,49,54,55,56,45,48
"2816900140","281308","Jelgavas Spīdolas ģimnāzija",0,0,0,0,0,0,85,86,90
"2813902959","281309","Jelgavas Tehnoloģiju vidusskola",56,59,0,0,22,26,74,66,77
"2814900141","281401","Jelgavas Vakara (maiņu) vidusskola",0,2,1,1,2,7,14,31,31
"2822902715","282202","Jelgavas 2. internātpamatskola",14,17,17,25,25,30,12,24,18
"2822901097","282203","Jelgavas 1. internātpamatskola",16,11,15,20,15,13,13,13,16
"2911901386","291101","Sākumskola ""Ābelīte""",29,26,23,27,0,0,0,0,0
"2911901383","291102","Sākumskola ""Taurenītis""",24,28,18,17,20,20,0,0,0
"2911901882","291104","Jūrmalas sākumskola ""Atvase""",60,60,75,53,58,45,0,0,0
"2912901351","291201","Slokas pamatskola",38,43,30,42,38,40,35,32,22
"2912901382","291203","Jūrmalas Alternatīvā skola",20,20,20,20,18,18,16,19,14
"2912901441","291204","Vaivaru pamatskola",23,22,10,15,18,17,20,14,11
"2919902697","291301","Jūrmalas Valsts ģimnāzija",0,0,0,0,0,0,57,62,53
"2913901344","291302","Jūrmalas pilsētas Kauguru vidusskola",60,86,75,61,62,53,48,59,49
"2913901345","291303","Ķemeru vidusskola",14,18,13,12,13,12,10,9,9
"2913901346","291304","Pumpuru vidusskola",51,33,31,52,45,36,37,30,29
"2913901349","291305","Jūrmalas pilsētas Jaundubultu vidusskola",37,24,15,23,21,22,26,23,17
"2913901347","291306","Jūrmalas pilsētas Lielupes vidusskola",20,17,14,19,16,13,10,13,11
"2913901348","291307","Jūrmalas pilsētas Mežmalas vidusskola",54,34,42,53,41,34,45,45,31
"2913901352","291308","Majoru vidusskola",43,41,44,48,42,46,51,38,44
"2913801521","291381","Latvijas Starptautiskā skola",17,19,36,19,28,21,19,18,27
"2914901350","291401","Jūrmalas vakara vidusskola",0,0,0,0,0,0,4,9,11
"2922901384","292201","Jūrmalas pilsētas internātpamatskola",5,8,8,6,7,0,12,3,15
"3011900940","301102","Liepājas Ezerkrasta sākumskola",94,107,86,73,0,0,0,0,0
"3011902612","301104","Liepājas Centra sākumskola",88,84,113,94,78,84,0,0,0
"3011800081","301182","Privātsākumskola ""Varavīksne""",12,9,10,10,3,7,0,0,0
"3012900937","301201","Liepājas 3. pamatskola",36,47,65,46,47,52,35,42,38
"3012901048","301203","Liepājas internātpamatskola",5,2,13,12,10,19,22,23,16
"3012800408","301280","Liepājas Katoļu pamatskola",17,23,13,18,18,24,11,11,12
"3019902788","301301","Liepājas Valsts 1. ģimnāzija",0,0,0,0,0,0,88,120,78
"3013900936","301302","Liepājas A. Puškina 2. vidusskola",52,42,61,66,62,63,56,65,54
"3013900932","301305","Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola",114,123,135,95,108,118,94,91,75
"3013900933","301306","Liepājas Raiņa 6. vidusskola",0,0,0,0,79,83,76,90,62
"3013900934","301307","Liepājas 7. vidusskola",86,94,90,84,76,79,62,66,67
"3013900925","301309","J. Čakstes Liepājas pilsētas 10. vidusskola",73,68,67,73,56,74,48,66,45
"3013900930","301311","Liepājas pilsētas 12. vidusskola",43,61,41,53,53,54,44,49,46
"3013900931","301312","Liepājas 15. vidusskola",111,97,113,69,82,86,74,80,83
"3013900924","301313","Liepājas 8. vidusskola",45,55,47,57,73,53,50,50,67
"3014900943","301401","Liepājas vakara (maiņu) vidusskola",0,0,0,0,0,0,7,12,38
"3020900938","302201","Liepājas speciālā internātpamatskola",11,15,18,40,15,23,16,21,44
"3113900062","311302","Rēzeknes 2. vidusskola",50,43,50,32,53,45,58,65,56
"3113900063","311303","Rēzeknes 3. vidusskola",40,53,43,34,33,53,36,38,30
"3113900064","311304","Rēzeknes 4. vidusskola",17,19,15,18,23,19,25,20,18
"3113900065","311305","Rēzeknes 5. vidusskola",48,41,39,48,48,53,42,62,50
"3113900066","311306","Rēzeknes 6. vidusskola",70,74,48,64,44,37,43,42,45
"3113900061","311308","Rēzeknes 1. vidusskola",77,86,61,45,57,56,63,53,56
"3116902163","311309","Rēzeknes valsts poļu ģimnāzija",53,59,60,41,43,61,35,33,37
"3113802708","311380","Rēzeknes Katoļu vidusskola",20,17,24,18,15,17,20,22,20
"3114900068","311401","Rēzeknes vakara vidusskola",0,0,0,0,0,0,1,0,10
"3122900069","312201","Rēzeknes logopēdiskā internātpamatskola",36,25,14,16,13,11,12,6,26
"3211902422","321101","Ventspils Centra sākumskola",57,59,58,57,58,55,0,0,0
"3212900030","321201","Ventspils 1. pamatskola",53,35,28,37,33,37,39,25,27
"3212900031","321202","Ventspils 2. pamatskola",29,26,31,22,19,26,27,40,15
"3216900032","321301","Ventspils 1. ģimnāzija",0,0,0,0,0,0,59,29,61
"3213900033","321302","Ventspils 2. vidusskola",51,43,39,57,42,43,44,54,56
"3213900034","321303","Ventspils 3. vidusskola",37,42,44,40,42,39,39,32,38
"3213900035","321304","Ventspils 4. vidusskola",64,72,53,55,53,52,55,73,42
"3213900037","321306","Ventspils 6. vidusskola",62,54,57,58,46,50,67,75,69
"3213900036","321307","Ventspils 5. vidusskola",49,39,38,31,34,35,35,24,23
"3214900038","321401","Ventspils vakara vidusskola",24,10,14,12,7,6,5,12,27
"3411900787","341103","Rīgas Valda Zālīša sākumskola",94,87,90,97,65,90,0,0,0
"3412900785","341201","Rīgas 24. pamatskola",68,45,48,41,43,34,38,31,37
"3412900786","341202","Rīgas Centra daiļamatniecības pamatskola",34,33,55,27,34,45,46,42,38
"3412900804","341204","Pamatskola ""Rīdze""",61,61,58,60,88,62,52,49,32
"3419900793","341301","Rīgas Valsts 1. ģimnāzija",0,0,0,0,0,0,127,130,127
"3419900794","341302","Rīgas Valsts 3. ģimnāzija",0,0,0,0,0,0,100,130,120
"3413900799","341305","Rīgas 22. vidusskola",55,54,48,54,60,32,48,75,68
"3413900797","341308","Rīgas 40. vidusskola",90,90,116,100,90,104,90,107,72
"3413900790","341309","Rīgas Centra humanitārā vidusskola",120,92,90,90,93,81,91,84,58
"3413902866","341312","Rīgas Natālijas Draudziņas vidusskola",98,77,83,56,46,66,42,32,22
"3416801138","341380","Privātā Rīgas Tehnolingvistiskā ģimnāzija",0,0,0,0,0,0,2,8,2
"3414900800","341401","Rīgas Raiņa 8. vakara (maiņu) vidusskola",0,0,0,0,0,0,0,10,29
"3420900801","342101","Rīgas sākumskola ""Valodiņa""",59,37,27,33,0,0,0,0,0
"3420900802","342201","Rīgas 1. speciālā internātpamatskola",10,12,24,17,12,19,18,11,33
"3511900641","351101","Āgenskalna sākumskola",87,94,113,86,91,91,0,0,0
"3511802743","351181","Svēto Kirila un Mefodija Rīgas pareizticīgā sākumskola",1,3,5,0,0,0,0,0,0
"3512900779","351202","Rīgas Valdorfskola",66,51,34,49,32,46,24,20,16
"3512802055","351280","Rīgas Starptautiskā skola (old)",1,0,0,0,0,0,0,0,0
"3519900642","351301","Rīgas Valsts vācu ģimnāzija",0,0,0,0,0,0,84,102,99
"3513900771","351302","Rīgas 19. vidusskola",35,31,31,25,35,17,40,21,13
"3513900836","351303","Rīgas 33. vidusskola",96,87,81,86,74,69,74,69,61
"3513900765","351304","Rīgas 34. vidusskola",135,130,123,93,102,90,101,68,83
"3513900768","351305","Rīgas 41. vidusskola",68,77,78,41,47,50,40,37,32
"3513900764","351306","Rīgas 54. vidusskola",54,38,35,52,41,45,21,39,34
"3513900770","351307","Iļģuciema vidusskola",81,50,45,47,49,51,36,46,36
"3513900766","351308","Rīgas Daugavgrīvas vidusskola",63,50,56,42,54,58,44,55,41
"3513900769","351309","Rīgas 68. vidusskola",26,40,22,24,28,35,21,26,35
